activity_key,user_key,date_key,content_key,device_key,subscription_key,minutes_watched,session_duration_mins,completion_rate,pause_count,buffering_events,stream_quality,subtitle_used,audio_language,login_count,added_to_watchlist,shared_content,content_rated,user_rating,search_performed,search_query_count,feedback_given,recommendation_shown,recommendation_clicked,recommendation_converted,recommendation_algorithm,recommendation_position,time_to_click_seconds,relevance_score,subscription_event_type,payment_amount_usd,payment_method,is_trial,cancellation_reason,auto_renewal_enabled,revenue_attributed_usd,notification_sent,notification_clicked,error_encountered,error_type,ab_test_group,platform_version
12,424,352,57,1,3,26.54,25.35,0.86,6,3,480p,True,English,5,False,False,False,,False,0,,True,True,False,Collaborative Filtering,12,15.7,0.409,Signup,19.99,PayPal,False,,True,1.75,True,False,False,,Control,v3.3
13,294,263,61,2,3,34.5,34.12,0.6,2,3,480p,False,English,9,False,False,False,,False,0,,True,False,False,Collaborative Filtering,20,,0.76,None,0.0,Credit Card,False,,False,0.83,False,False,False,,Control,v4.0
14,444,201,82,2,2,23.05,24.86,0.57,4,3,720p,True,English,9,False,True,False,,False,0,,True,False,False,Editorial,11,,0.834,None,0.0,PayPal,False,,True,2.03,False,False,False,,Control,v4.0
15,59,365,191,1,2,15.15,19.23,0.5,0,0,1080p,False,German,9,True,False,False,,True,2,,True,True,False,Hybrid,20,88.0,0.637,Signup,0.0,Debit Card,True,,True,1.27,False,False,False,,Control,v3.2
16,138,49,179,2,1,22.42,22.77,0.37,8,4,4K,False,German,1,True,False,False,,True,2,,False,False,False,Trending,4,,0.633,None,0.0,Debit Card,False,,True,0.29,True,True,False,,Control,v3.3
17,99,10,148,3,3,56.88,51.22,0.74,8,1,1080p,True,English,4,True,False,False,,True,4,,True,True,True,Trending,19,37.1,0.631,None,0.0,Credit Card,False,,False,1.54,False,False,False,,Variant_B,v4.0
18,192,36,28,3,2,40.46,51.97,0.39,5,4,4K,False,English,5,True,False,False,,True,3,Thumbs Down,True,True,False,Collaborative Filtering,20,72.6,0.492,None,0.0,Debit Card,False,,True,0.13,True,True,True,Playback Error,Control,v3.2
19,243,160,65,4,2,41.05,43.37,0.88,1,0,1080p,False,Original,5,True,False,False,,False,0,Thumbs Up,True,True,True,Collaborative Filtering,10,116.3,0.852,None,0.0,Apple Pay,False,,True,0.81,False,False,False,,Variant_A,v3.2
20,319,39,22,1,2,274.03,250.32,0.51,6,3,480p,False,English,6,True,True,False,,True,2,,False,False,False,Content-Based,15,,0.529,Upgrade,0.0,Credit Card,False,,True,0.75,True,False,False,,Variant_B,v3.3
21,49,160,155,4,3,69.99,72.7,0.65,3,4,720p,False,English,9,False,False,False,,False,0,,True,True,True,Collaborative Filtering,13,109.3,0.595,Renewal,13.99,Credit Card,False,,False,2.45,False,False,False,,Variant_A,v3.3
22,448,231,171,2,2,1.62,2.03,0.61,2,1,720p,False,Spanish,8,False,False,False,,False,0,,True,True,False,Collaborative Filtering,13,115.3,0.803,None,0.0,Credit Card,False,,False,0.69,False,False,False,,Variant_A,v3.3
23,32,175,32,3,3,150.66,165.54,0.38,3,3,4K,False,Hindi,4,False,False,False,,False,0,,True,True,True,Collaborative Filtering,18,74.1,0.4,Renewal,7.99,PayPal,False,,True,1.72,False,False,False,,Variant_A,v3.2
24,391,358,60,4,2,22.01,25.87,0.96,8,1,480p,False,English,5,False,False,True,2.4,True,3,,True,False,False,Hybrid,7,,0.86,None,0.0,Debit Card,False,,True,0.72,False,False,False,,Variant_B,v3.2
25,277,339,41,3,2,18.79,23.71,0.99,1,2,240p,True,English,2,False,False,False,,True,3,,True,False,False,Content-Based,14,,0.939,Cancellation,13.99,Debit Card,False,Content,True,0.29,True,False,False,,Variant_A,v4.0
26,20,195,28,2,3,69.48,75.53,0.97,3,1,720p,True,Hindi,5,False,False,False,,True,1,,True,True,False,Collaborative Filtering,5,107.1,0.431,Upgrade,7.99,Credit Card,False,,True,0.25,True,False,False,,Variant_B,v3.2
27,154,313,51,3,1,68.0,82.68,0.69,7,3,4K,True,French,6,False,False,False,,True,5,,True,False,False,Content-Based,9,,0.755,None,0.0,Credit Card,False,,False,2.32,True,False,True,Payment Error,Variant_B,v3.2
28,383,168,189,4,1,35.75,37.3,0.47,0,2,1080p,False,English,8,False,False,False,,True,5,,True,False,False,Content-Based,17,,0.645,None,0.0,Debit Card,False,,True,0.33,False,False,False,,Control,v3.3
29,68,176,171,3,2,34.85,44.9,0.99,5,3,720p,False,Spanish,1,True,False,False,,False,0,,True,False,False,Trending,5,,0.447,Cancellation,0.0,PayPal,False,Technical,True,2.1,True,False,False,,Control,v3.3
30,366,330,98,2,3,177.62,189.1,0.76,7,3,1080p,False,English,4,False,False,False,,False,0,,True,False,False,Content-Based,16,,0.809,Renewal,0.0,Gift Card,False,,True,1.4,True,True,False,,Control,v3.3
31,372,362,17,1,1,196.01,188.94,0.62,4,2,720p,True,French,3,False,False,False,,False,0,,True,False,False,Content-Based,9,,0.767,Signup,7.99,PayPal,False,,True,1.14,False,False,False,,Control,v3.3
32,214,36,175,3,2,55.77,70.95,0.92,1,1,4K,False,Spanish,9,False,False,False,,False,0,,True,False,False,Trending,17,,0.786,Renewal,19.99,Credit Card,False,,True,2.49,True,True,False,,Variant_B,v3.3
33,143,83,82,1,3,22.8,23.66,0.92,0,0,1080p,False,English,8,False,False,False,,False,0,,True,False,False,Content-Based,18,,0.888,None,0.0,Apple Pay,False,,False,2.24,True,False,False,,Control,v3.3
34,376,8,112,4,3,30.76,33.28,0.62,3,0,720p,True,English,1,False,False,False,,True,5,,True,False,False,Collaborative Filtering,3,,0.572,Signup,13.99,Credit Card,False,,True,0.67,False,False,False,,Control,v4.0
35,232,204,185,1,1,52.72,47.63,0.34,7,0,480p,False,French,3,False,False,False,,False,0,,True,False,False,Trending,5,,0.806,Signup,0.0,Apple Pay,False,,True,1.54,False,False,False,,Control,v3.3
36,213,354,125,4,1,203.68,190.42,0.71,6,0,1080p,False,English,2,False,False,False,,False,0,,True,True,False,Collaborative Filtering,17,46.1,0.846,None,0.0,PayPal,False,,True,0.48,False,False,False,,Control,v3.2
37,79,73,73,3,3,79.54,91.3,0.34,2,4,1080p,True,Original,9,True,False,True,3.2,True,3,,True,False,False,Editorial,20,,0.501,None,0.0,Gift Card,False,,True,1.53,True,False,False,,Variant_B,v3.3
38,214,36,188,4,2,27.03,35.06,0.7,2,0,480p,True,French,8,False,False,False,,False,0,Thumbs Up,False,False,False,Collaborative Filtering,4,,0.974,Cancellation,7.99,Apple Pay,False,Technical,False,0.4,True,False,False,,Control,v3.3
39,116,113,89,3,1,187.47,210.72,0.88,6,2,720p,False,English,1,True,False,False,,False,0,,True,False,False,Content-Based,4,,0.604,Renewal,0.0,Credit Card,False,,True,1.61,True,False,False,,Control,v4.0
40,92,260,53,3,1,48.7,46.55,0.94,5,0,240p,False,English,4,True,True,False,,True,4,Thumbs Down,True,True,False,Collaborative Filtering,7,52.6,0.828,None,0.0,Credit Card,False,,True,2.43,False,False,False,,Variant_A,v4.0
41,270,161,135,4,2,256.66,302.98,0.54,4,3,240p,False,Hindi,7,False,False,False,,False,0,Thumbs Down,True,True,False,Collaborative Filtering,8,115.3,0.852,None,0.0,Credit Card,False,,False,1.5,False,False,False,,Variant_B,v3.1
42,411,319,24,4,2,189.99,179.14,0.77,1,0,1080p,False,Spanish,3,False,False,True,1.6,False,0,,False,False,False,Collaborative Filtering,2,,0.702,Downgrade,13.99,Credit Card,False,,True,0.4,True,False,False,,Variant_B,v3.2
43,381,222,57,1,2,168.98,159.94,0.41,5,1,1080p,True,German,1,False,False,False,,False,0,Thumbs Up,True,False,False,Hybrid,10,,0.477,Cancellation,19.99,Debit Card,False,Technical,True,2.02,True,True,False,,Variant_B,v3.2
44,489,106,200,3,3,246.22,262.83,0.82,2,2,720p,False,English,3,False,False,True,3.7,False,0,,False,False,False,Content-Based,5,,0.565,Upgrade,13.99,Credit Card,False,,False,0.9,False,False,False,,Variant_A,v4.0
45,168,278,132,4,3,32.83,30.46,0.84,5,2,4K,False,English,2,False,False,False,,False,0,,True,False,False,Collaborative Filtering,17,,0.541,None,0.0,Credit Card,False,,False,0.33,False,False,True,Payment Error,Control,v3.3
46,58,225,157,1,1,45.35,44.02,0.55,8,4,1080p,False,English,1,False,False,False,,False,0,,True,True,True,Hybrid,7,6.1,0.711,None,0.0,Debit Card,False,,False,1.67,False,False,True,Playback Error,Variant_A,v4.0
47,284,139,97,3,1,271.9,313.4,0.73,3,3,720p,False,English,7,False,False,False,,True,5,Thumbs Up,True,False,False,Collaborative Filtering,2,,0.557,Upgrade,13.99,Debit Card,False,,True,2.09,True,False,False,,Variant_B,v3.3
48,26,28,82,4,1,18.97,19.56,0.62,8,2,1080p,True,Original,2,False,False,False,,False,0,,True,False,False,Content-Based,6,,0.728,None,0.0,Apple Pay,False,,False,1.26,True,False,False,,Control,v3.3
49,369,102,4,4,2,25.02,28.17,0.84,5,1,1080p,False,English,3,False,False,True,4.8,False,0,Thumbs Up,True,False,False,Trending,10,,0.573,None,0.0,Credit Card,False,,False,2.34,True,False,False,,Variant_B,v3.3
50,447,209,21,1,3,18.99,19.27,0.41,1,0,720p,False,Hindi,6,False,False,False,,False,0,,True,False,False,Hybrid,9,,0.401,None,0.0,Credit Card,False,,False,1.74,True,False,False,,Variant_B,v4.0
51,66,182,151,1,3,39.05,48.68,0.68,6,2,720p,True,English,1,False,False,True,4.1,False,0,,True,False,False,Editorial,5,,0.618,None,0.0,PayPal,False,,True,1.6,True,False,False,,Variant_A,v4.0
52,409,143,146,2,3,19.75,20.92,0.68,3,1,4K,False,English,3,True,False,False,,False,0,,False,False,False,Trending,3,,0.764,Renewal,13.99,PayPal,False,,True,0.95,True,False,False,,Variant_A,v4.0
53,248,342,140,2,3,292.12,366.13,0.67,5,0,1080p,False,German,9,False,False,False,,True,2,,True,False,False,Collaborative Filtering,11,,0.864,None,0.0,Credit Card,False,,True,0.85,True,False,False,,Control,v3.3
54,254,55,178,4,2,256.57,237.16,0.84,7,4,480p,False,English,6,False,False,False,,True,3,Thumbs Down,False,False,False,Collaborative Filtering,10,,0.417,None,0.0,PayPal,False,,True,0.78,False,False,False,,Variant_A,v3.1
55,387,224,58,4,1,105.57,120.42,0.72,8,2,720p,False,Spanish,2,False,False,False,,True,5,,True,False,False,Content-Based,16,,0.555,Renewal,13.99,Debit Card,False,,True,2.4,False,False,False,,Control,v4.0
56,456,256,153,1,3,223.97,221.2,0.36,1,2,4K,True,Original,2,False,False,False,,False,0,,True,False,False,Content-Based,20,,0.991,None,0.0,Credit Card,False,,True,1.66,False,False,False,,Control,v3.2
57,44,90,128,3,1,72.43,72.85,0.77,1,1,1080p,True,Hindi,2,False,False,False,,False,0,Thumbs Up,True,False,False,Trending,19,,0.557,None,0.0,PayPal,False,,True,1.53,False,False,False,,Variant_B,v3.3
58,97,64,129,4,1,96.99,103.14,0.88,6,3,1080p,False,French,5,False,False,False,,False,0,,True,False,False,Content-Based,1,,0.866,None,0.0,PayPal,False,,True,0.87,True,False,False,,Variant_B,v3.3
59,42,296,128,2,3,36.23,33.39,0.71,4,4,720p,True,English,9,True,False,False,,False,0,,True,False,False,Collaborative Filtering,11,,0.706,Renewal,7.99,Apple Pay,False,,True,0.95,False,False,False,,Variant_A,v3.2
60,500,207,54,1,1,158.35,150.61,0.97,4,3,480p,False,English,3,False,True,False,,False,0,,True,False,False,Collaborative Filtering,15,,0.473,Downgrade,0.0,PayPal,False,,True,0.77,False,False,False,,Control,v4.0
61,227,60,59,2,1,39.15,39.03,0.88,6,2,720p,False,German,5,False,False,True,4.9,True,5,,True,False,False,Collaborative Filtering,7,,0.786,Renewal,0.0,Debit Card,False,,False,0.48,True,False,False,,Control,v3.3
62,262,341,180,3,2,10.29,9.85,0.55,6,3,720p,False,English,1,False,False,False,,False,0,Thumbs Down,True,False,False,Content-Based,8,,0.98,None,0.0,Credit Card,False,,True,2.31,False,False,False,,Variant_A,v3.1
63,167,364,68,1,2,20.11,18.8,0.36,8,0,720p,False,English,4,True,False,False,,False,0,,True,False,False,Collaborative Filtering,16,,0.932,None,0.0,Apple Pay,False,,True,1.5,True,False,False,,Control,v4.0
64,436,138,154,1,1,70.51,65.99,0.78,4,4,1080p,False,Hindi,7,False,False,False,,True,5,,True,False,False,Collaborative Filtering,18,,0.814,None,0.0,PayPal,False,,True,1.86,False,False,False,,Variant_B,v4.0
65,279,25,190,3,1,285.07,356.79,0.53,7,3,4K,False,Spanish,2,False,False,False,,True,5,,True,False,False,Collaborative Filtering,11,,0.707,None,0.0,PayPal,False,,True,1.24,True,False,False,,Control,v4.0
66,89,136,85,3,1,14.83,18.73,0.71,1,0,4K,False,German,9,False,False,False,,True,1,,False,False,False,Content-Based,1,,0.592,Signup,0.0,Credit Card,True,,True,0.24,False,False,False,,Variant_B,v3.2
67,379,58,200,1,1,67.51,66.17,0.82,3,1,4K,True,Original,9,False,False,True,3.0,True,5,,True,False,False,Content-Based,16,,0.614,None,0.0,Credit Card,False,,False,1.23,True,False,True,Network Error,Control,v3.1
68,178,89,13,1,1,85.69,108.11,0.79,2,3,1080p,False,French,3,False,False,False,,False,0,,False,False,False,Collaborative Filtering,4,,0.608,Renewal,0.0,Credit Card,False,,False,0.2,True,False,False,,Variant_B,v3.2
69,427,339,89,3,1,105.99,119.46,0.49,0,4,1080p,False,Spanish,1,False,False,True,4.8,True,2,,True,False,False,Hybrid,6,,0.953,None,0.0,Debit Card,False,,True,2.37,False,False,True,Auth Error,Variant_A,v4.0
70,403,322,9,1,2,6.75,8.75,0.89,1,0,1080p,False,Original,2,False,False,False,,False,0,,True,False,False,Editorial,11,,0.527,Cancellation,7.99,Credit Card,False,No Time,True,0.92,True,False,False,,Control,v3.2
71,197,77,23,2,1,40.3,46.38,0.58,0,3,1080p,True,English,3,False,False,True,1.5,True,3,,True,False,False,Collaborative Filtering,6,,0.627,None,0.0,Debit Card,False,,True,0.47,True,False,False,,Control,v3.3
72,307,320,39,3,3,12.27,11.38,1.0,2,1,1080p,False,English,6,False,False,False,,True,5,,True,False,False,Editorial,10,,0.659,None,0.0,Debit Card,False,,True,0.64,False,False,False,,Control,v4.0
73,267,273,101,1,3,31.95,29.9,1.0,1,3,480p,True,English,2,False,False,False,,False,0,,True,False,False,Trending,6,,0.645,None,0.0,Credit Card,False,,False,2.29,True,False,False,,Control,v3.3
74,268,214,139,3,1,39.32,35.85,0.6,5,0,1080p,False,English,6,False,False,False,,False,0,,True,False,False,Hybrid,10,,0.403,Upgrade,13.99,Apple Pay,False,,True,0.6,True,True,False,,Control,v3.3
75,74,105,88,3,1,59.27,74.79,0.84,8,3,720p,True,Hindi,7,False,False,True,1.5,True,2,,True,False,False,Content-Based,5,,0.563,None,0.0,Credit Card,False,,True,0.42,True,False,False,,Control,v4.0
76,8,136,29,4,3,7.7,9.85,0.4,5,4,1080p,False,Spanish,4,False,False,False,,True,4,,False,False,False,Editorial,9,,0.699,None,0.0,Gift Card,False,,True,1.58,True,False,False,,Variant_B,v3.3
77,408,55,141,3,3,112.97,134.0,0.88,1,2,1080p,True,English,5,False,False,False,,True,4,,True,False,False,Content-Based,7,,0.856,Upgrade,13.99,PayPal,False,,False,0.33,False,False,False,,Variant_B,v3.2
78,476,260,65,1,2,68.84,62.27,0.3,1,0,720p,True,Spanish,5,False,False,False,,True,1,Thumbs Up,True,False,False,Hybrid,17,,0.742,Signup,13.99,Credit Card,True,,True,1.23,False,False,False,,Control,v4.0
79,297,240,79,1,2,15.98,19.08,0.48,8,0,720p,False,English,6,False,False,False,,False,0,,True,True,False,Hybrid,12,89.3,0.631,None,0.0,Credit Card,False,,False,1.73,False,False,False,,Control,v3.3
80,164,103,24,1,2,84.08,90.31,0.98,5,0,1080p,False,English,7,False,False,False,,False,0,,True,True,False,Content-Based,11,90.7,0.799,Downgrade,0.0,PayPal,False,,False,0.44,True,False,False,,Control,v3.1
81,485,125,139,2,1,41.07,42.3,0.42,8,0,720p,True,English,4,False,False,False,,True,5,,True,False,False,Content-Based,6,,0.8,None,0.0,Apple Pay,False,,True,1.97,True,True,False,,Variant_B,v4.0
82,85,318,124,1,3,84.63,108.52,0.91,1,3,720p,False,English,9,False,False,False,,False,0,Thumbs Down,True,False,False,Trending,11,,0.549,None,0.0,Credit Card,False,,True,1.13,True,False,False,,Variant_B,v3.1
83,72,102,99,2,3,50.76,61.36,0.98,1,4,480p,False,Hindi,4,True,False,False,,True,4,,True,False,False,Hybrid,11,,0.462,Renewal,0.0,PayPal,False,,True,1.81,False,False,False,,Variant_B,v3.3
84,55,241,148,2,1,50.1,59.73,0.92,0,1,720p,False,Hindi,8,False,False,False,,True,4,,True,True,True,Collaborative Filtering,14,57.9,0.882,Upgrade,19.99,Credit Card,False,,True,0.71,False,False,False,,Variant_A,v3.3
85,393,202,94,4,2,40.14,51.76,0.82,1,4,1080p,False,English,8,False,False,False,,False,0,,True,False,False,Hybrid,16,,0.718,Signup,7.99,PayPal,False,,True,1.15,True,False,False,,Variant_A,v3.2
86,47,55,46,3,1,42.07,42.21,0.56,4,0,240p,False,English,6,False,False,False,,False,0,,False,False,False,Content-Based,2,,0.506,None,0.0,Gift Card,False,,True,1.24,True,False,False,,Variant_B,v4.0
87,399,344,63,2,3,22.56,23.75,0.68,6,3,1080p,False,Spanish,3,False,False,False,,False,0,,False,False,False,Trending,2,,0.557,None,0.0,Credit Card,False,,True,0.81,False,False,False,,Control,v4.0
88,432,55,181,4,3,273.7,251.37,0.53,0,3,4K,True,Original,7,True,False,False,,True,1,Thumbs Down,True,False,False,Content-Based,5,,0.86,None,0.0,Credit Card,False,,True,2.0,True,False,False,,Control,v3.3
89,238,363,82,2,3,24.84,31.05,0.65,2,0,480p,False,Spanish,8,False,False,False,,True,1,,True,False,False,Hybrid,14,,0.792,None,0.0,Credit Card,False,,True,0.53,True,False,False,,Variant_A,v3.3
90,104,67,125,2,2,48.68,56.57,0.31,3,3,1080p,True,Hindi,6,False,False,False,,True,4,Thumbs Down,True,False,False,Collaborative Filtering,10,,0.967,None,0.0,Credit Card,False,,True,1.69,True,False,False,,Variant_B,v3.3
91,210,173,15,4,2,19.37,24.36,0.35,5,0,1080p,False,English,4,False,True,False,,False,0,Thumbs Up,True,False,False,Collaborative Filtering,10,,0.679,Cancellation,7.99,Apple Pay,False,Found Alternative,False,2.34,True,False,False,,Variant_B,v3.3
92,42,23,74,3,2,61.27,79.12,0.71,3,4,720p,False,English,5,True,False,True,3.2,False,0,,True,False,False,Content-Based,18,,0.431,None,0.0,Debit Card,False,,True,2.11,False,False,False,,Control,v4.0
93,316,88,23,2,3,16.34,17.44,0.83,5,2,1080p,True,English,2,False,False,True,4.4,False,0,,True,True,False,Collaborative Filtering,20,33.2,0.82,None,0.0,Apple Pay,False,,False,1.93,False,False,False,,Variant_B,v4.0
94,468,324,49,4,1,45.39,44.82,0.72,6,3,720p,False,Original,8,False,False,False,,False,0,,False,False,False,Collaborative Filtering,9,,0.553,Upgrade,7.99,Credit Card,False,,True,0.44,False,False,False,,Variant_B,v3.2
95,454,203,141,3,1,260.27,300.25,0.54,8,0,4K,True,German,4,False,False,True,4.7,False,0,Thumbs Up,True,True,True,Content-Based,4,84.3,0.594,Renewal,19.99,PayPal,False,,False,1.92,False,False,False,,Variant_B,v4.0
96,268,193,127,3,2,9.29,9.78,0.33,2,0,720p,True,English,4,False,False,False,,False,0,,True,False,False,Content-Based,17,,0.518,Renewal,7.99,Debit Card,False,,True,1.0,False,False,False,,Variant_B,v3.3
97,386,266,95,4,1,31.19,40.13,0.93,8,3,720p,True,English,2,False,False,False,,False,0,,True,False,False,Trending,2,,0.585,Renewal,0.0,Debit Card,False,,True,0.35,True,False,False,,Variant_A,v3.3
98,263,86,81,1,1,53.96,50.88,0.51,0,1,480p,False,English,8,False,False,False,,False,0,,True,False,False,Collaborative Filtering,14,,0.898,None,0.0,Gift Card,False,,False,1.77,False,False,False,,Control,v3.1
99,336,81,84,4,3,10.57,9.89,0.62,1,0,240p,False,English,3,False,False,True,1.4,True,5,Thumbs Up,False,False,False,Collaborative Filtering,1,,0.746,None,0.0,Debit Card,False,,True,0.26,False,False,False,,Control,v4.0
100,387,43,198,3,2,115.44,114.82,0.33,4,3,4K,False,German,4,True,False,False,,True,2,,True,True,True,Editorial,7,77.5,0.465,None,0.0,Credit Card,False,,True,1.02,False,False,False,,Control,v3.3
101,365,116,44,2,2,43.9,45.94,0.95,0,0,4K,False,Hindi,1,False,False,False,,True,2,,True,True,False,Trending,4,104.2,0.752,Upgrade,0.0,Credit Card,False,,True,2.16,False,False,False,,Variant_A,v3.3
102,259,266,152,3,3,29.48,35.01,0.78,8,1,240p,True,English,4,False,False,False,,False,0,Thumbs Up,True,False,False,Content-Based,9,,0.78,Downgrade,7.99,Credit Card,False,,True,1.75,True,False,False,,Control,v3.2
103,283,284,187,3,2,64.27,78.37,0.46,1,2,1080p,True,English,4,False,False,True,1.1,False,0,,True,True,False,Content-Based,3,60.2,0.931,Cancellation,0.0,Credit Card,False,Content,True,1.34,False,False,False,,Variant_B,v3.3
104,114,79,70,3,2,57.75,74.68,0.64,2,1,1080p,False,French,7,False,False,False,,False,0,,True,False,False,Trending,5,,0.916,None,0.0,Debit Card,False,,True,2.22,False,False,False,,Control,v3.3
105,363,294,6,4,3,57.11,73.42,0.83,3,4,480p,True,German,8,False,False,False,,False,0,,True,False,False,Trending,10,,0.438,Renewal,7.99,Apple Pay,False,,True,1.9,False,False,False,,Control,v3.2
106,40,153,51,1,3,35.71,36.55,0.97,5,3,1080p,True,Original,1,False,False,False,,False,0,,True,False,False,Hybrid,10,,0.92,Upgrade,19.99,Apple Pay,False,,True,1.23,False,False,False,,Control,v3.3
107,486,360,84,2,2,35.7,44.2,0.93,6,1,720p,False,English,3,True,False,False,,True,1,,True,False,False,Hybrid,4,,0.431,Signup,19.99,Apple Pay,False,,True,1.89,True,True,False,,Control,v4.0
108,417,262,108,3,2,46.04,46.21,0.82,3,2,4K,False,English,1,False,False,False,,False,0,,True,False,False,Collaborative Filtering,17,,0.492,Renewal,13.99,Credit Card,False,,True,2.22,True,False,False,,Variant_B,v3.3
109,220,130,146,2,1,243.91,253.64,0.94,1,0,720p,True,English,1,False,False,False,,True,1,,True,False,False,Hybrid,17,,0.467,None,0.0,Debit Card,False,,True,0.44,False,False,False,,Control,v3.3
110,129,362,198,1,3,58.24,74.81,0.79,6,3,720p,True,Original,3,False,False,False,,False,0,,False,False,False,Content-Based,19,,0.509,None,0.0,Gift Card,False,,True,0.58,False,False,False,,Control,v4.0
111,8,151,200,1,1,42.1,39.29,0.34,7,1,1080p,False,English,2,True,False,False,,False,0,,False,False,False,Content-Based,6,,0.882,Cancellation,13.99,Debit Card,False,Content,True,1.84,True,False,False,,Control,v4.0
112,101,339,89,2,1,67.69,87.97,0.78,6,2,720p,True,English,8,False,False,False,,False,0,,True,False,False,Content-Based,1,,0.812,Upgrade,7.99,Credit Card,False,,True,0.51,True,False,False,,Variant_B,v4.0
113,416,144,15,2,3,28.49,31.74,0.77,6,1,1080p,False,English,1,True,False,True,4.3,True,4,,False,False,False,Hybrid,14,,0.812,Signup,13.99,Apple Pay,False,,True,0.5,True,True,True,Payment Error,Variant_A,v4.0
114,380,160,198,3,2,22.81,22.02,0.62,0,4,720p,True,English,8,True,False,False,,True,4,,True,False,False,Content-Based,13,,0.953,None,0.0,Apple Pay,False,,False,1.67,True,False,False,,Variant_A,v4.0
115,176,1,95,1,3,74.43,76.45,0.93,2,3,4K,False,English,9,False,False,False,,True,4,,True,False,False,Content-Based,3,,0.635,Downgrade,19.99,PayPal,False,,True,1.39,False,False,True,Auth Error,Control,v3.2
116,107,114,13,3,1,56.25,52.91,0.32,7,0,720p,False,Spanish,8,False,False,False,,False,0,,True,True,True,Collaborative Filtering,2,83.4,0.402,Renewal,7.99,Credit Card,False,,True,1.92,False,False,False,,Variant_B,v3.2
117,101,176,135,1,2,52.85,61.93,0.74,1,2,1080p,True,English,3,False,False,False,,False,0,,True,False,False,Content-Based,7,,0.784,None,0.0,Credit Card,False,,True,0.87,True,False,False,,Control,v4.0
118,260,32,168,3,1,64.31,79.13,0.47,6,1,720p,False,English,4,False,False,True,4.6,True,3,,False,False,False,Collaborative Filtering,12,,0.921,None,0.0,Debit Card,False,,False,1.56,True,False,False,,Control,v3.1
119,478,149,182,2,1,188.14,219.61,0.79,8,3,720p,False,German,8,True,False,True,4.2,True,2,,True,True,False,Collaborative Filtering,2,60.5,0.986,None,0.0,Debit Card,False,,False,2.25,True,True,False,,Control,v4.0
120,454,160,88,4,1,203.98,198.54,0.6,2,1,1080p,True,English,2,True,True,False,,False,0,,True,True,False,Content-Based,11,96.2,0.618,Renewal,19.99,Credit Card,False,,True,2.27,False,False,False,,Control,v4.0
