user_key,user_id,age,gender,country,city,signup_date,acquisition_channel,user_segment,preferred_language,email_opt_in,lifetime_value_usd
42,USR00042,56,Non-Binary,USA,New York,2022-10-19,Paid Ad,Casual Viewer,English,False,470.6
43,USR00043,35,Male,UK,Birmingham,2022-05-08,Email Campaign,Casual Viewer,Spanish,True,342.93
44,USR00044,21,Male,Canada,Toronto,2022-01-16,Referral,Casual Viewer,German,False,715.21
45,USR00045,42,Male,USA,New York,2022-07-22,Referral,New User,English,True,655.78
46,USR00046,31,Female,UK,London,2021-04-16,Paid Ad,New User,Hindi,True,280.04
47,USR00047,26,Female,USA,Los Angeles,2022-06-13,Referral,Casual Viewer,Portuguese,False,214.94
48,USR00048,43,Male,Canada,Toronto,2021-05-08,Paid Ad,Casual Viewer,Portuguese,True,309.96
49,USR00049,19,Female,Germany,Hamburg,2021-10-19,Organic,Casual Viewer,English,True,476.33
50,USR00050,37,Male,Canada,Vancouver,2021-03-27,Referral,New User,English,False,221.77
51,USR00051,45,Female,Canada,Toronto,2021-06-14,Referral,Casual Viewer,English,False,503.08
52,USR00052,64,Female,UK,London,2021-10-07,Email Campaign,New User,Hindi,True,333.44
53,USR00053,24,Male,Canada,Vancouver,2022-04-06,Organic,Casual Viewer,English,True,446.12
54,USR00054,61,Female,Brazil,São Paulo,2022-06-10,Referral,Casual Viewer,Spanish,True,354.54
55,USR00055,25,Female,Germany,Berlin,2021-05-31,Organic,Casual Viewer,English,True,242.63
56,USR00056,64,Female,India,Bangalore,2022-03-24,Email Campaign,Casual Viewer,English,True,759.28
57,USR00057,52,Male,UK,Manchester,2021-04-04,Organic,Casual Viewer,Spanish,True,613.25
58,USR00058,31,Non-Binary,Germany,Hamburg,2021-08-16,Organic,New User,English,False,120.69
59,USR00059,34,Female,UK,London,2022-04-07,Social Media,At-Risk User,Spanish,False,696.09
60,USR00060,53,Male,Australia,Brisbane,2021-12-24,Organic,At-Risk User,English,False,395.07
61,USR00061,57,Male,Brazil,São Paulo,2021-01-28,Referral,At-Risk User,Spanish,True,716.7
62,USR00062,21,Male,Germany,Munich,2022-03-01,Paid Ad,Casual Viewer,English,True,641.89
63,USR00063,19,Female,India,Delhi,2021-02-24,Referral,New User,Hindi,True,345.92
64,USR00064,23,Male,Germany,Munich,2022-02-10,Email Campaign,Casual Viewer,English,True,27.75
65,USR00065,59,Female,France,Marseille,2022-05-30,Email Campaign,New User,German,True,222.26
66,USR00066,21,Female,France,Marseille,2022-01-18,Referral,Casual Viewer,Hindi,False,437.89
67,USR00067,46,Male,UK,London,2021-08-30,Organic,Casual Viewer,English,True,510.45
68,USR00068,35,Non-Binary,USA,Los Angeles,2022-01-31,Organic,New User,English,True,213.73
69,USR00069,43,Female,Canada,Montreal,2021-03-25,Social Media,Casual Viewer,English,True,120.09
70,USR00070,61,Female,Canada,Toronto,2022-01-19,Social Media,Casual Viewer,English,False,669.59
71,USR00071,51,Female,UK,Birmingham,2021-08-18,Referral,Casual Viewer,English,True,787.68
72,USR00072,27,Male,Brazil,São Paulo,2021-01-29,Paid Ad,New User,Hindi,True,425.3
73,USR00073,53,Female,Brazil,Brasília,2021-11-23,Social Media,Casual Viewer,German,True,145.63
74,USR00074,31,Non-Binary,Canada,Montreal,2021-04-12,Organic,Casual Viewer,Portuguese,True,225.12
75,USR00075,48,Male,Germany,Hamburg,2022-10-28,Email Campaign,Power User,English,True,24.53
76,USR00076,32,Female,Australia,Melbourne,2021-12-10,Social Media,Casual Viewer,French,False,732.3
77,USR00077,25,Female,Brazil,Rio de Janeiro,2021-05-30,Social Media,New User,Hindi,True,103.02
78,USR00078,31,Female,Australia,Brisbane,2021-05-21,Referral,New User,French,True,465.45
79,USR00079,40,Male,Canada,Toronto,2021-02-09,Referral,Casual Viewer,English,True,226.5
80,USR00080,57,Female,UK,London,2021-10-21,Referral,At-Risk User,Spanish,False,447.8
81,USR00081,38,Male,India,Delhi,2022-04-29,Referral,Casual Viewer,English,True,524.62
82,USR00082,33,Female,Canada,Vancouver,2021-05-23,Referral,Power User,English,True,665.5
83,USR00083,62,Female,India,Delhi,2022-04-26,Organic,Power User,English,False,173.07
84,USR00084,35,Male,Brazil,Brasília,2022-04-05,Social Media,Casual Viewer,Portuguese,False,18.69
85,USR00085,64,Female,Australia,Sydney,2022-09-23,Paid Ad,Casual Viewer,French,False,118.14
86,USR00086,41,Male,UK,Manchester,2021-01-06,Social Media,Power User,English,False,721.01
87,USR00087,43,Male,Brazil,Brasília,2021-03-23,Email Campaign,At-Risk User,German,True,700.37
88,USR00088,42,Female,India,Delhi,2021-01-20,Social Media,At-Risk User,German,True,481.96
89,USR00089,62,Male,USA,New York,2021-09-20,Social Media,New User,Spanish,False,484.41
90,USR00090,58,Male,USA,New York,2021-08-09,Social Media,Casual Viewer,French,True,535.38
91,USR00091,46,Female,USA,Los Angeles,2021-06-03,Referral,At-Risk User,English,True,148.54
92,USR00092,32,Male,Germany,Hamburg,2022-07-16,Social Media,Casual Viewer,Portuguese,False,732.39
93,USR00093,62,Male,France,Paris,2022-09-16,Social Media,Casual Viewer,English,True,340.83
94,USR00094,18,Female,Australia,Sydney,2022-06-25,Email Campaign,At-Risk User,English,True,312.68
95,USR00095,42,Male,USA,New York,2022-03-10,Referral,At-Risk User,English,True,419.94
96,USR00096,24,Female,Australia,Melbourne,2021-04-24,Social Media,Casual Viewer,Hindi,True,47.1
97,USR00097,26,Female,Brazil,Brasília,2021-10-23,Organic,Power User,English,True,141.36
98,USR00098,41,Male,India,Bangalore,2021-09-01,Referral,Casual Viewer,Spanish,True,593.05
99,USR00099,18,Male,Brazil,Brasília,2021-11-05,Social Media,Casual Viewer,English,True,75.41
100,USR00100,61,Female,France,Marseille,2021-05-05,Email Campaign,Casual Viewer,Portuguese,True,486.49
101,USR00101,25,Male,USA,Chicago,2021-02-18,Email Campaign,Casual Viewer,English,False,203.83
102,USR00102,41,Female,Germany,Munich,2021-09-02,Email Campaign,Power User,English,True,317.54
103,USR00103,28,Female,Germany,Munich,2022-03-06,Email Campaign,Casual Viewer,English,False,238.07
104,USR00104,34,Female,India,Bangalore,2022-10-17,Social Media,New User,Hindi,True,290.98
105,USR00105,25,Female,Canada,Montreal,2022-09-30,Social Media,Casual Viewer,French,True,578.05
106,USR00106,52,Female,Germany,Munich,2022-04-14,Referral,Casual Viewer,French,False,244.73
107,USR00107,52,Female,USA,Los Angeles,2021-03-06,Social Media,Casual Viewer,English,True,457.46
108,USR00108,50,Female,Australia,Brisbane,2021-04-24,Paid Ad,Power User,English,False,386.08
109,USR00109,22,Male,Australia,Brisbane,2022-05-27,Social Media,Casual Viewer,English,True,534.3
110,USR00110,59,Male,Brazil,Rio de Janeiro,2022-09-04,Paid Ad,At-Risk User,English,False,750.1
111,USR00111,56,Female,Brazil,São Paulo,2022-07-03,Social Media,Casual Viewer,Hindi,True,588.73
112,USR00112,58,Male,Canada,Montreal,2021-01-17,Paid Ad,Power User,Spanish,False,179.8
113,USR00113,45,Female,India,Mumbai,2022-10-10,Email Campaign,Casual Viewer,English,True,34.63
114,USR00114,24,Male,UK,Birmingham,2022-06-12,Referral,Casual Viewer,English,False,217.19
115,USR00115,26,Female,Brazil,Brasília,2022-08-12,Organic,Power User,English,True,480.11
116,USR00116,25,Male,France,Marseille,2021-09-05,Referral,Power User,English,True,50.63
117,USR00117,29,Female,Canada,Montreal,2021-05-28,Paid Ad,Power User,Spanish,False,402.13
118,USR00118,51,Male,Germany,Berlin,2021-10-26,Social Media,Casual Viewer,Portuguese,True,481.51
119,USR00119,50,Female,India,Delhi,2022-03-16,Referral,Casual Viewer,English,True,274.05
120,USR00120,40,Male,UK,Manchester,2021-01-02,Paid Ad,Power User,English,True,619.02
121,USR00121,41,Male,France,Paris,2022-09-22,Referral,Casual Viewer,English,True,94.21
122,USR00122,54,Male,India,Delhi,2021-12-28,Organic,Power User,English,True,69.36
123,USR00123,52,Male,France,Lyon,2021-09-04,Paid Ad,Power User,English,True,585.27
124,USR00124,61,Male,India,Delhi,2022-08-08,Referral,Power User,French,False,401.44
125,USR00125,57,Female,USA,Los Angeles,2022-03-03,Organic,New User,Hindi,True,553.84
126,USR00126,39,Female,Canada,Vancouver,2021-07-11,Referral,At-Risk User,French,True,353.51
127,USR00127,44,Male,USA,Chicago,2022-11-12,Organic,Casual Viewer,English,False,204.66
128,USR00128,52,Male,Brazil,São Paulo,2022-11-16,Paid Ad,Casual Viewer,Hindi,False,657.09
129,USR00129,18,Female,Brazil,Rio de Janeiro,2021-03-29,Email Campaign,Casual Viewer,English,True,641.54
130,USR00130,52,Female,France,Lyon,2022-06-21,Paid Ad,At-Risk User,English,True,558.81
131,USR00131,54,Non-Binary,Canada,Vancouver,2022-01-05,Email Campaign,Power User,English,True,224.99
132,USR00132,64,Female,USA,Chicago,2021-03-11,Email Campaign,Casual Viewer,English,True,476.28
133,USR00133,31,Male,Brazil,Rio de Janeiro,2022-06-23,Paid Ad,Power User,Spanish,True,295.17
134,USR00134,20,Male,Brazil,Rio de Janeiro,2022-07-12,Organic,Casual Viewer,French,True,82.35
135,USR00135,18,Male,USA,New York,2022-06-04,Email Campaign,At-Risk User,English,True,734.68
136,USR00136,22,Male,Australia,Brisbane,2022-06-04,Social Media,Casual Viewer,Portuguese,True,118.09
137,USR00137,43,Male,USA,Los Angeles,2022-07-22,Referral,Power User,English,False,760.69
138,USR00138,31,Male,France,Paris,2021-01-21,Email Campaign,New User,English,False,362.34
139,USR00139,56,Female,France,Paris,2022-02-04,Organic,Power User,English,True,156.26
140,USR00140,44,Male,UK,London,2022-04-27,Paid Ad,Power User,French,True,438.1
141,USR00141,26,Non-Binary,Australia,Sydney,2021-02-14,Paid Ad,Casual Viewer,English,True,699.63
142,USR00142,32,Female,India,Delhi,2022-10-13,Referral,Power User,English,False,588.46
143,USR00143,32,Female,Canada,Toronto,2022-02-01,Email Campaign,New User,Hindi,True,647.18
144,USR00144,43,Male,France,Marseille,2022-01-18,Email Campaign,At-Risk User,English,True,530.44
145,USR00145,59,Female,Australia,Brisbane,2021-09-17,Organic,Power User,English,False,556.9
146,USR00146,30,Female,UK,Manchester,2021-01-17,Email Campaign,Casual Viewer,Hindi,False,680.86
147,USR00147,49,Female,India,Mumbai,2022-01-01,Organic,Power User,Portuguese,False,207.24
148,USR00148,56,Female,Germany,Hamburg,2021-03-11,Email Campaign,At-Risk User,English,False,396.65
149,USR00149,49,Male,UK,London,2021-12-20,Email Campaign,Casual Viewer,Hindi,True,184.76
150,USR00150,21,Male,Canada,Montreal,2021-09-04,Social Media,New User,English,True,790.26
151,USR00151,47,Male,Brazil,Brasília,2022-11-04,Paid Ad,Casual Viewer,Spanish,False,755.81
152,USR00152,54,Male,Germany,Hamburg,2022-10-06,Email Campaign,Casual Viewer,Spanish,False,41.15
153,USR00153,40,Female,Australia,Melbourne,2021-04-17,Email Campaign,Casual Viewer,Spanish,True,567.4
154,USR00154,56,Male,India,Bangalore,2022-08-19,Email Campaign,Casual Viewer,English,True,740.95
155,USR00155,62,Female,USA,New York,2021-12-07,Email Campaign,Casual Viewer,Hindi,True,152.65
156,USR00156,32,Male,UK,Manchester,2021-05-17,Organic,Casual Viewer,English,False,458.68
157,USR00157,60,Male,Canada,Vancouver,2021-02-15,Paid Ad,Casual Viewer,English,False,733.24
158,USR00158,46,Female,India,Bangalore,2021-12-27,Organic,Power User,German,True,36.82
159,USR00159,53,Male,UK,Manchester,2022-07-14,Email Campaign,Casual Viewer,English,True,560.96
160,USR00160,30,Male,UK,Birmingham,2021-12-13,Social Media,Casual Viewer,English,True,244.91
161,USR00161,49,Female,USA,New York,2022-10-21,Email Campaign,Casual Viewer,German,False,740.27
162,USR00162,24,Male,Germany,Munich,2021-06-29,Paid Ad,New User,Hindi,False,777.14
163,USR00163,39,Non-Binary,UK,Birmingham,2022-04-21,Paid Ad,New User,English,False,755.97
164,USR00164,45,Male,Brazil,Rio de Janeiro,2022-05-06,Email Campaign,Casual Viewer,English,True,384.63
165,USR00165,19,Female,France,Lyon,2022-10-09,Email Campaign,At-Risk User,English,True,691.01
166,USR00166,59,Female,USA,New York,2021-07-06,Paid Ad,New User,English,True,677.19
167,USR00167,62,Female,UK,Birmingham,2021-05-19,Organic,At-Risk User,Spanish,True,262.09
168,USR00168,23,Male,Germany,Hamburg,2021-03-06,Organic,New User,Hindi,False,664.84
169,USR00169,45,Female,UK,London,2022-04-14,Organic,Casual Viewer,English,False,39.24
170,USR00170,45,Male,UK,London,2021-02-07,Paid Ad,Casual Viewer,English,False,481.05
171,USR00171,61,Male,Brazil,Brasília,2021-10-28,Social Media,Casual Viewer,French,False,191.71
172,USR00172,61,Female,India,Delhi,2021-07-26,Organic,Casual Viewer,English,True,105.25
173,USR00173,37,Non-Binary,Australia,Sydney,2021-02-14,Referral,Casual Viewer,English,False,70.79
174,USR00174,47,Male,France,Paris,2021-07-24,Referral,Casual Viewer,English,False,560.07
175,USR00175,28,Female,France,Lyon,2021-02-12,Paid Ad,Power User,English,False,278.5
176,USR00176,45,Female,UK,Birmingham,2021-11-20,Referral,Casual Viewer,German,True,582.57
177,USR00177,42,Female,USA,Los Angeles,2021-11-14,Organic,Casual Viewer,English,True,61.63
178,USR00178,56,Female,Australia,Sydney,2022-06-12,Email Campaign,Power User,Spanish,True,259.08
179,USR00179,50,Male,Australia,Melbourne,2022-02-12,Email Campaign,New User,English,False,436.2
180,USR00180,18,Male,Australia,Brisbane,2022-07-11,Email Campaign,Power User,English,True,634.67
181,USR00181,44,Female,Germany,Berlin,2022-04-30,Paid Ad,Power User,English,True,261.81
182,USR00182,30,Male,Germany,Munich,2021-09-17,Organic,Power User,Spanish,True,504.45
183,USR00183,58,Male,Brazil,Brasília,2021-02-07,Referral,New User,English,True,709.92
184,USR00184,20,Male,USA,Chicago,2022-10-25,Organic,At-Risk User,English,True,496.53
185,USR00185,56,Male,Australia,Brisbane,2021-07-15,Organic,Casual Viewer,English,True,194.04
186,USR00186,23,Male,Canada,Montreal,2021-10-20,Social Media,New User,English,True,29.28
187,USR00187,25,Female,France,Marseille,2022-01-01,Social Media,New User,German,True,697.38
188,USR00188,44,Male,UK,Birmingham,2021-02-18,Social Media,Casual Viewer,Spanish,False,26.8
189,USR00189,26,Male,UK,London,2022-11-03,Social Media,At-Risk User,Spanish,True,701.01
190,USR00190,54,Female,Australia,Brisbane,2021-12-06,Referral,Casual Viewer,Hindi,False,427.86
191,USR00191,50,Female,Australia,Brisbane,2021-10-07,Email Campaign,Casual Viewer,Hindi,True,751.86
192,USR00192,59,Male,Canada,Montreal,2021-05-08,Social Media,New User,Portuguese,True,641.04
193,USR00193,61,Female,UK,Manchester,2022-01-12,Referral,Power User,Hindi,False,798.37
194,USR00194,41,Female,Brazil,São Paulo,2022-03-24,Organic,Casual Viewer,English,True,287.06
195,USR00195,32,Female,Australia,Sydney,2022-02-14,Referral,New User,Spanish,True,616.08
196,USR00196,49,Female,France,Lyon,2022-03-27,Referral,Power User,English,True,327.53
197,USR00197,49,Female,India,Bangalore,2022-01-31,Organic,New User,German,False,389.1
198,USR00198,41,Female,USA,Los Angeles,2021-12-14,Organic,Casual Viewer,Spanish,True,505.73
199,USR00199,58,Male,Brazil,Rio de Janeiro,2021-07-11,Social Media,Casual Viewer,English,True,700.2
200,USR00200,29,Female,France,Lyon,2022-05-24,Paid Ad,Power User,English,True,787.43
201,USR00201,56,Female,Brazil,São Paulo,2022-05-25,Paid Ad,Casual Viewer,English,True,616.94
202,USR00202,19,Female,Brazil,São Paulo,2022-01-12,Email Campaign,Power User,English,True,340.04
203,USR00203,20,Female,France,Paris,2022-06-16,Referral,Power User,German,True,342.87
204,USR00204,54,Male,UK,Birmingham,2021-10-01,Social Media,New User,Hindi,True,592.69
205,USR00205,34,Male,Australia,Brisbane,2021-03-26,Organic,New User,English,True,198.63
206,USR00206,19,Male,UK,Manchester,2022-03-11,Email Campaign,At-Risk User,Portuguese,True,97.27
207,USR00207,19,Female,Australia,Sydney,2021-03-22,Social Media,New User,Spanish,False,290.15
208,USR00208,45,Female,USA,New York,2022-03-17,Referral,Casual Viewer,Hindi,True,236.92
209,USR00209,40,Male,Australia,Brisbane,2022-09-09,Social Media,Casual Viewer,Portuguese,True,244.08
210,USR00210,54,Male,Brazil,Brasília,2021-07-04,Organic,Casual Viewer,Portuguese,False,194.55
211,USR00211,49,Female,Canada,Toronto,2022-07-13,Organic,At-Risk User,English,True,43.25
212,USR00212,50,Female,France,Paris,2021-10-28,Referral,Casual Viewer,French,True,24.12
213,USR00213,18,Female,Australia,Brisbane,2021-11-25,Referral,Power User,English,False,790.3
214,USR00214,36,Female,Australia,Brisbane,2021-04-16,Paid Ad,Casual Viewer,Hindi,False,347.94
215,USR00215,19,Female,Brazil,São Paulo,2021-03-23,Paid Ad,Power User,German,True,313.62
216,USR00216,61,Male,Brazil,Rio de Janeiro,2021-12-02,Paid Ad,Casual Viewer,English,False,546.92
217,USR00217,43,Male,India,Delhi,2022-11-08,Paid Ad,Casual Viewer,Portuguese,True,182.42
218,USR00218,49,Male,Germany,Munich,2021-10-30,Referral,Power User,English,True,760.47
219,USR00219,23,Male,UK,Manchester,2021-11-10,Social Media,Power User,Hindi,True,631.21
220,USR00220,49,Male,Canada,Toronto,2022-04-02,Social Media,Power User,Hindi,False,80.63
221,USR00221,21,Male,Brazil,Rio de Janeiro,2022-09-10,Referral,Power User,English,True,339.89
222,USR00222,28,Non-Binary,India,Delhi,2022-03-13,Email Campaign,Casual Viewer,Hindi,True,704.5
223,USR00223,34,Female,India,Bangalore,2021-06-20,Organic,Power User,Hindi,True,756.34
224,USR00224,55,Female,Germany,Munich,2022-03-31,Paid Ad,New User,English,True,379.25
225,USR00225,41,Female,USA,Chicago,2021-12-26,Referral,New User,Spanish,True,494.59
226,USR00226,22,Non-Binary,India,Bangalore,2022-04-03,Organic,New User,Hindi,True,141.96
227,USR00227,51,Female,India,Mumbai,2021-02-13,Paid Ad,Casual Viewer,French,True,793.02
228,USR00228,23,Male,France,Paris,2021-12-28,Organic,New User,German,True,193.02
229,USR00229,39,Male,UK,London,2022-09-22,Paid Ad,Power User,English,True,754.76
230,USR00230,28,Female,Brazil,São Paulo,2022-03-22,Paid Ad,Casual Viewer,French,True,523.22
231,USR00231,33,Male,USA,Chicago,2021-10-09,Paid Ad,Casual Viewer,Portuguese,True,490.11
232,USR00232,50,Female,UK,London,2022-10-17,Organic,New User,Spanish,True,415.02
233,USR00233,26,Female,India,Bangalore,2021-02-28,Social Media,Casual Viewer,Spanish,False,192.23
234,USR00234,23,Male,Germany,Berlin,2021-03-18,Paid Ad,New User,English,True,149.46
235,USR00235,33,Female,UK,Manchester,2022-11-19,Organic,Power User,Portuguese,True,184.18
236,USR00236,46,Female,USA,Los Angeles,2022-10-15,Social Media,Power User,German,True,157.29
237,USR00237,20,Female,Brazil,Brasília,2022-02-20,Paid Ad,Power User,English,True,625.87
238,USR00238,37,Male,UK,Manchester,2022-01-08,Organic,At-Risk User,English,True,286.6
239,USR00239,53,Male,India,Delhi,2022-06-10,Paid Ad,Casual Viewer,English,True,55.7
240,USR00240,36,Male,India,Bangalore,2022-11-27,Email Campaign,Casual Viewer,English,True,775.59
241,USR00241,43,Female,Australia,Melbourne,2021-06-13,Paid Ad,New User,English,True,708.19
242,USR00242,20,Female,India,Delhi,2021-02-01,Paid Ad,Casual Viewer,English,True,742.92
243,USR00243,36,Male,India,Delhi,2021-05-27,Paid Ad,Casual Viewer,Spanish,True,795.98
244,USR00244,37,Female,Brazil,São Paulo,2022-09-15,Organic,New User,English,True,147.38
245,USR00245,49,Male,UK,Birmingham,2022-11-26,Paid Ad,Casual Viewer,German,True,323.03
246,USR00246,24,Female,Germany,Berlin,2022-03-25,Email Campaign,New User,English,True,609.01
247,USR00247,58,Female,UK,Manchester,2021-02-05,Referral,New User,English,True,559.86
248,USR00248,50,Female,Australia,Melbourne,2021-05-10,Social Media,Power User,French,True,131.58
249,USR00249,57,Male,Germany,Berlin,2021-03-10,Email Campaign,At-Risk User,German,True,654.51
250,USR00250,56,Male,Canada,Vancouver,2021-08-30,Referral,Casual Viewer,Hindi,False,187.31
251,USR00251,35,Male,Canada,Montreal,2022-10-23,Paid Ad,Casual Viewer,English,True,186.82
252,USR00252,57,Non-Binary,France,Marseille,2022-01-11,Organic,Power User,English,True,434.21
253,USR00253,18,Male,USA,Chicago,2022-01-06,Social Media,Casual Viewer,Spanish,False,478.42
254,USR00254,28,Female,Australia,Melbourne,2022-01-28,Organic,Power User,German,False,468.27
255,USR00255,45,Non-Binary,Brazil,Brasília,2022-08-04,Email Campaign,Casual Viewer,Hindi,True,82.27
256,USR00256,42,Female,Brazil,Brasília,2021-02-03,Email Campaign,New User,Hindi,True,703.19
257,USR00257,40,Female,USA,Los Angeles,2022-09-12,Organic,New User,German,False,219.82
258,USR00258,48,Male,UK,London,2021-06-07,Email Campaign,Power User,Portuguese,False,112.32
259,USR00259,47,Male,Canada,Toronto,2022-11-27,Organic,Casual Viewer,English,True,712.11
260,USR00260,59,Male,Brazil,Rio de Janeiro,2022-04-06,Paid Ad,Casual Viewer,Portuguese,True,764.96
261,USR00261,52,Female,Brazil,Brasília,2022-01-15,Referral,Casual Viewer,English,True,691.08
262,USR00262,24,Female,Brazil,São Paulo,2022-01-16,Referral,New User,English,True,649.52
263,USR00263,33,Female,Canada,Toronto,2022-03-31,Email Campaign,Casual Viewer,English,True,527.64
264,USR00264,43,Male,UK,London,2021-03-20,Referral,Power User,English,True,445.18
265,USR00265,19,Female,France,Lyon,2022-08-11,Paid Ad,Power User,English,True,78.72
266,USR00266,18,Female,Germany,Berlin,2021-05-21,Email Campaign,Casual Viewer,Portuguese,False,332.68
267,USR00267,29,Male,India,Mumbai,2022-06-27,Social Media,New User,Hindi,True,304.42
268,USR00268,22,Female,Brazil,Rio de Janeiro,2022-01-11,Email Campaign,New User,Portuguese,True,215.21
269,USR00269,54,Male,Germany,Munich,2022-02-12,Email Campaign,Power User,Spanish,True,581.5
270,USR00270,49,Non-Binary,USA,Los Angeles,2021-11-18,Social Media,Power User,English,False,401.74
271,USR00271,26,Female,France,Paris,2022-10-28,Referral,Casual Viewer,Portuguese,True,74.03
272,USR00272,58,Male,Canada,Toronto,2021-10-13,Referral,Power User,French,True,183.94
273,USR00273,52,Male,Germany,Munich,2021-09-13,Paid Ad,New User,German,True,549.77
274,USR00274,36,Female,Brazil,Brasília,2021-04-27,Referral,Power User,Hindi,True,70.14
275,USR00275,33,Female,UK,Manchester,2021-01-27,Social Media,Casual Viewer,English,True,682.45
276,USR00276,20,Male,USA,New York,2021-07-10,Organic,At-Risk User,Spanish,True,401.17
277,USR00277,37,Non-Binary,USA,New York,2022-05-27,Paid Ad,New User,English,True,389.66
278,USR00278,41,Female,India,Delhi,2022-06-15,Paid Ad,Power User,English,True,478.0
279,USR00279,50,Male,Canada,Montreal,2022-02-01,Referral,Power User,French,True,661.5
280,USR00280,41,Male,India,Bangalore,2022-07-30,Social Media,Casual Viewer,English,True,284.77
281,USR00281,28,Female,Germany,Berlin,2021-05-01,Organic,At-Risk User,French,True,545.63
282,USR00282,25,Female,UK,Birmingham,2021-09-26,Organic,Casual Viewer,Portuguese,True,456.93
283,USR00283,53,Female,Germany,Hamburg,2021-09-24,Social Media,Casual Viewer,Portuguese,True,220.95
284,USR00284,55,Female,Canada,Montreal,2022-04-02,Referral,Power User,English,False,704.12
285,USR00285,57,Male,Australia,Melbourne,2021-08-08,Paid Ad,Casual Viewer,Portuguese,True,639.97
286,USR00286,37,Female,Brazil,São Paulo,2022-09-19,Paid Ad,At-Risk User,Portuguese,True,530.18
287,USR00287,52,Non-Binary,France,Lyon,2021-10-20,Email Campaign,Power User,English,False,681.96
