activity_key,user_key,date_key,content_key,device_key,subscription_key,minutes_watched,session_duration_mins,completion_rate,pause_count,buffering_events,stream_quality,subtitle_used,audio_language,login_count,added_to_watchlist,shared_content,content_rated,user_rating,search_performed,search_query_count,feedback_given,recommendation_shown,recommendation_clicked,recommendation_converted,recommendation_algorithm,recommendation_position,time_to_click_seconds,relevance_score,subscription_event_type,payment_amount_usd,payment_method,is_trial,cancellation_reason,auto_renewal_enabled,revenue_attributed_usd,notification_sent,notification_clicked,error_encountered,error_type,ab_test_group,platform_version,engagement_score,high_engagement,buffering_level,recommendation_success,watch_efficiency,revenue_segment
42,411,319,24,4,2,189.99,179.14,0.77,1,0,1080p,False,Spanish,3,False,False,True,1.6,False,0,,False,False,False,"Collaborative Filtering",2,,0.702,Downgrade,13.99,"Credit Card",False,,True,0.4,True,False,False,,Variant_B,v3.2,99.696,1,Low,0,1.0605671541810875,Low
43,381,222,57,1,2,168.98,159.94,0.41,5,1,1080p,True,German,1,False,False,False,0,False,0,"Thumbs Up",True,False,False,Hybrid,10,,0.477,Cancellation,19.99,"Debit Card",False,Technical,True,2.02,True,True,False,,Variant_B,v3.2,80.092,1,Low,0,1.0565211954482931,Premium
44,489,106,200,3,3,246.22,262.83,0.82,2,2,720p,False,English,3,False,False,True,3.7,False,0,,False,False,False,Content-Based,5,,0.565,Upgrade,13.99,"Credit Card",False,,False,0.9,False,False,False,,Variant_A,v4.0,123.68799999999999,1,Medium,0,0.9368032568580452,Medium
45,168,278,132,4,3,32.83,30.46,0.84,5,2,4K,False,English,2,False,False,False,0,False,0,,True,False,False,"Collaborative Filtering",17,,0.541,,0,"Credit Card",False,,False,0.33,False,False,True,"Payment Error",Control,v3.3,38.732,0,Medium,0,1.077806959947472,Low
46,58,225,157,1,1,45.35,44.02,0.55,8,4,1080p,False,English,1,False,False,False,0,False,0,,True,True,True,Hybrid,7,6.1,0.711,,0,"Debit Card",False,,False,1.67,False,False,True,"Playback Error",Variant_A,v4.0,34.84,0,High,1,1.030213539300318,High
47,284,139,97,3,1,271.9,313.4,0.73,3,3,720p,False,English,7,False,False,False,0,True,5,"Thumbs Up",True,False,False,"Collaborative Filtering",2,,0.557,Upgrade,13.99,"Debit Card",False,,True,2.09,True,False,False,,Variant_B,v3.3,132.56,1,Medium,0,0.8675813656668794,Premium
48,26,28,82,4,1,18.97,19.56,0.62,8,2,1080p,True,Original,2,False,False,False,0,False,0,,True,False,False,Content-Based,6,,0.728,,0,"Apple Pay",False,,False,1.26,True,False,False,,Control,v3.3,26.587999999999997,0,Medium,0,0.9698364008179959,Medium
49,369,102,4,4,2,25.02,28.17,0.84,5,1,1080p,False,English,3,False,False,True,4.8,False,0,"Thumbs Up",True,False,False,Trending,10,,0.573,,0,"Credit Card",False,,False,2.34,True,False,False,,Variant_B,v3.3,35.808,0,Low,0,0.888178913738019,Premium
50,447,209,21,1,3,18.99,19.27,0.41,1,0,720p,False,Hindi,6,False,False,False,0,False,0,,True,False,False,Hybrid,9,,0.401,,0,"Credit Card",False,,False,1.74,True,False,False,,Variant_B,v4.0,21.096,0,Low,0,0.9854696419304618,High
51,66,182,151,1,3,39.05,48.68,0.68,6,2,720p,True,English,1,False,False,True,4.1,False,0,,True,False,False,Editorial,5,,0.618,,0,PayPal,False,,True,1.6,True,False,False,,Variant_A,v4.0,36.22,0,Medium,0,0.8021774856203779,High
52,409,143,146,2,3,19.75,20.92,0.68,3,1,4K,False,English,3,True,False,False,0,False,0,,False,False,False,Trending,3,,0.764,Renewal,13.99,PayPal,False,,True,0.95,True,False,False,,Variant_A,v4.0,28.9,0,Low,0,0.9440726577437858,Medium
53,248,342,140,2,3,292.12,366.13,0.67,5,0,1080p,False,German,9,False,False,False,0,True,2,,True,False,False,"Collaborative Filtering",11,,0.864,,0,"Credit Card",False,,True,0.85,True,False,False,,Control,v3.3,138.948,1,Low,0,0.7978586840739629,Medium
54,254,55,178,4,2,256.57,237.16,0.84,7,4,480p,False,English,6,False,False,False,0,True,3,"Thumbs Down",False,False,False,"Collaborative Filtering",10,,0.417,,0,PayPal,False,,True,0.78,False,False,False,,Variant_A,v3.1,129.328,1,High,0,1.0818434811941304,Medium
55,387,224,58,4,1,105.57,120.42,0.72,8,2,720p,False,Spanish,2,False,False,False,0,True,5,,True,False,False,Content-Based,16,,0.555,Renewal,13.99,"Debit Card",False,,True,2.4,False,False,False,,Control,v4.0,64.72800000000001,1,Medium,0,0.8766816143497758,Premium
56,456,256,153,1,3,223.97,221.2,0.36,1,2,4K,True,Original,2,False,False,False,0,False,0,,True,False,False,Content-Based,20,,0.991,,0,"Credit Card",False,,True,1.66,False,False,False,,Control,v3.2,100.78800000000001,1,Medium,0,1.0125226039783002,High
57,44,90,128,3,1,72.43,72.85,0.77,1,1,1080p,True,Hindi,2,False,False,False,0,False,0,"Thumbs Up",True,False,False,Trending,19,,0.557,,0,PayPal,False,,True,1.53,False,False,False,,Variant_B,v3.3,52.472,1,Low,0,0.9942347288949899,High
58,97,64,129,4,1,96.99,103.14,0.88,6,3,1080p,False,French,5,False,False,False,0,False,0,,True,False,False,Content-Based,1,,0.866,,0,PayPal,False,,True,0.87,True,False,False,,Variant_B,v3.3,66.196,1,Medium,0,0.940372309482257,Medium
59,42,296,128,2,3,36.23,33.39,0.71,4,4,720p,True,English,9,True,False,False,0,False,0,,True,False,False,"Collaborative Filtering",11,,0.706,Renewal,7.99,"Apple Pay",False,,True,0.95,False,False,False,,Variant_A,v3.2,37.592,0,High,0,1.0850554058101227,Medium
60,500,207,54,1,1,158.35,150.61,0.97,4,3,480p,False,English,3,False,True,False,0,False,0,,True,False,False,"Collaborative Filtering",15,,0.473,Downgrade,0,PayPal,False,,True,0.77,False,False,False,,Control,v4.0,93.03999999999999,1,Medium,0,1.0513910098931012,Medium
61,227,60,59,2,1,39.15,39.03,0.88,6,2,720p,False,German,5,False,False,True,4.9,True,5,,True,False,False,"Collaborative Filtering",7,,0.786,Renewal,0,"Debit Card",False,,False,0.48,True,False,False,,Control,v3.3,43.56,1,Medium,0,1.0030745580322828,Low
62,262,341,180,3,2,10.29,9.85,0.55,6,3,720p,False,English,1,False,False,False,0,False,0,"Thumbs Down",True,False,False,Content-Based,8,,0.98,,0,"Credit Card",False,,True,2.31,False,False,False,,Variant_A,v3.1,20.816,0,Medium,0,1.0446700507614213,Premium
63,167,364,68,1,2,20.11,18.8,0.36,8,0,720p,False,English,4,True,False,False,0,False,0,,True,False,False,"Collaborative Filtering",16,,0.932,,0,"Apple Pay",False,,True,1.5,True,False,False,,Control,v4.0,19.644000000000002,0,Low,0,1.0696808510638298,High
64,436,138,154,1,1,70.51,65.99,0.78,4,4,1080p,False,Hindi,7,False,False,False,0,True,5,,True,False,False,"Collaborative Filtering",18,,0.814,,0,PayPal,False,,True,1.86,False,False,False,,Variant_B,v4.0,53.504,1,High,0,1.0684952265494774,High
65,279,25,190,3,1,285.07,356.79,0.53,7,3,4K,False,Spanish,2,False,False,False,0,True,5,,True,False,False,"Collaborative Filtering",11,,0.707,,0,PayPal,False,,True,1.24,True,False,False,,Control,v4.0,130.828,1,Medium,0,0.7989853975728018,Medium
66,89,136,85,3,1,14.83,18.73,0.71,1,0,4K,False,German,9,False,False,False,0,True,1,,False,False,False,Content-Based,1,,0.592,Signup,0,"Credit Card",True,,True,0.24,False,False,False,,Variant_B,v3.2,29.132,0,Low,0,0.791777896422851,Low
67,379,58,200,1,1,67.51,66.17,0.82,3,1,4K,True,Original,9,False,False,True,3,True,5,,True,False,False,Content-Based,16,,0.614,,0,"Credit Card",False,,False,1.23,True,False,True,"Network Error",Control,v3.1,53.903999999999996,1,Low,0,1.0202508689738552,Medium
68,178,89,13,1,1,85.69,108.11,0.79,2,3,1080p,False,French,3,False,False,False,0,False,0,,False,False,False,"Collaborative Filtering",4,,0.608,Renewal,0,"Credit Card",False,,False,0.2,True,False,False,,Variant_B,v3.2,58.576,1,Medium,0,0.7926186291739894,Low
69,427,339,89,3,1,105.99,119.46,0.49,0,4,1080p,False,Spanish,1,False,False,True,4.8,True,2,,True,False,False,Hybrid,6,,0.953,,0,"Debit Card",False,,True,2.37,False,False,True,"Auth Error",Variant_A,v4.0,57.49600000000001,1,High,0,0.8872425916624812,Premium
70,403,322,9,1,2,6.75,8.75,0.89,1,0,1080p,False,Original,2,False,False,False,0,False,0,,True,False,False,Editorial,11,,0.527,Cancellation,7.99,"Credit Card",False,"No Time",True,0.92,True,False,False,,Control,v3.2,29.799999999999997,0,Low,0,0.7714285714285715,Medium
71,197,77,23,2,1,40.3,46.38,0.58,0,3,1080p,True,English,3,False,False,True,1.5,True,3,,True,False,False,"Collaborative Filtering",6,,0.627,,0,"Debit Card",False,,True,0.47,True,False,False,,Control,v3.3,34.419999999999995,0,Medium,0,0.8689090125053901,Low
72,307,320,39,3,3,12.27,11.38,1,2,1,1080p,False,English,6,False,False,False,0,True,5,,True,False,False,Editorial,10,,0.659,,0,"Debit Card",False,,True,0.64,False,False,False,,Control,v4.0,36.608000000000004,0,Low,0,1.078207381370826,Low
73,267,273,101,1,3,31.95,29.9,1,1,3,480p,True,English,2,False,False,False,0,False,0,,True,False,False,Trending,6,,0.645,,0,"Credit Card",False,,False,2.29,True,False,False,,Control,v3.3,43.18,1,Medium,0,1.068561872909699,Premium
74,268,214,139,3,1,39.32,35.85,0.6,5,0,1080p,False,English,6,False,False,False,0,False,0,,True,False,False,Hybrid,10,,0.403,Upgrade,13.99,"Apple Pay",False,,True,0.6,True,True,False,,Control,v3.3,34.928000000000004,0,Low,0,1.096792189679219,Low
75,74,105,88,3,1,59.27,74.79,0.84,8,3,720p,True,Hindi,7,False,False,True,1.5,True,2,,True,False,False,Content-Based,5,,0.563,,0,"Credit Card",False,,True,0.42,True,False,False,,Control,v4.0,50.508,1,Medium,0,0.7924856264206445,Low
76,8,136,29,4,3,7.7,9.85,0.4,5,4,1080p,False,Spanish,4,False,False,False,0,True,4,,False,False,False,Editorial,9,,0.699,,0,"Gift Card",False,,True,1.58,True,False,False,,Variant_B,v3.3,16.28,0,High,0,0.7817258883248731,High
77,408,55,141,3,3,112.97,134,0.88,1,2,1080p,True,English,5,False,False,False,0,True,4,,True,False,False,Content-Based,7,,0.856,Upgrade,13.99,PayPal,False,,False,0.33,False,False,False,,Variant_B,v3.2,72.988,1,Medium,0,0.8430597014925373,Low
78,476,260,65,1,2,68.84,62.27,0.3,1,0,720p,True,Spanish,5,False,False,False,0,True,1,"Thumbs Up",True,False,False,Hybrid,17,,0.742,Signup,13.99,"Credit Card",True,,True,1.23,False,False,False,,Control,v4.0,37.636,0,Low,0,1.1055082704352015,Medium
79,297,240,79,1,2,15.98,19.08,0.48,8,0,720p,False,English,6,False,False,False,0,False,0,,True,True,False,Hybrid,12,89.3,0.631,,0,"Credit Card",False,,False,1.73,False,False,False,,Control,v3.3,21.991999999999997,0,Low,0,0.8375262054507339,High
80,164,103,24,1,2,84.08,90.31,0.98,5,0,1080p,False,English,7,False,False,False,0,False,0,,True,True,False,Content-Based,11,90.7,0.799,Downgrade,0,PayPal,False,,False,0.44,True,False,False,,Control,v3.1,64.432,1,Low,0,0.9310153914295205,Low
81,485,125,139,2,1,41.07,42.3,0.42,8,0,720p,True,English,4,False,False,False,0,True,5,,True,False,False,Content-Based,6,,0.8,,0,"Apple Pay",False,,True,1.97,True,True,False,,Variant_B,v4.0,30.328,0,Low,0,0.970921985815603,Premium
82,85,318,124,1,3,84.63,108.52,0.91,1,3,720p,False,English,9,False,False,False,0,False,0,"Thumbs Down",True,False,False,Trending,11,,0.549,,0,"Credit Card",False,,True,1.13,True,False,False,,Variant_B,v3.1,62.952,1,Medium,0,0.7798562476962771,Medium
83,72,102,99,2,3,50.76,61.36,0.98,1,4,480p,False,Hindi,4,True,False,False,0,True,4,,True,False,False,Hybrid,11,,0.462,Renewal,0,PayPal,False,,True,1.81,False,False,False,,Variant_B,v3.3,50.903999999999996,1,High,0,0.8272490221642764,High
84,55,241,148,2,1,50.1,59.73,0.92,0,1,720p,False,Hindi,8,False,False,False,0,True,4,,True,True,True,"Collaborative Filtering",14,57.9,0.882,Upgrade,19.99,"Credit Card",False,,True,0.71,False,False,False,,Variant_A,v3.3,49.64,1,Low,1,0.838774485183325,Low
85,393,202,94,4,2,40.14,51.76,0.82,1,4,1080p,False,English,8,False,False,False,0,False,0,,True,False,False,Hybrid,16,,0.718,Signup,7.99,PayPal,False,,True,1.15,True,False,False,,Variant_A,v3.2,42.256,1,High,0,0.7755023183925812,Medium
86,47,55,46,3,1,42.07,42.21,0.56,4,0,240p,False,English,6,False,False,False,0,False,0,,False,False,False,Content-Based,2,,0.506,,0,"Gift Card",False,,True,1.24,True,False,False,,Variant_B,v4.0,34.828,0,Low,0,0.9966832504145937,Medium
87,399,344,63,2,3,22.56,23.75,0.68,6,3,1080p,False,Spanish,3,False,False,False,0,False,0,,False,False,False,Trending,2,,0.557,,0,"Credit Card",False,,True,0.81,False,False,False,,Control,v4.0,30.024,0,Medium,0,0.9498947368421052,Medium
88,432,55,181,4,3,273.7,251.37,0.53,0,3,4K,True,Original,7,True,False,False,0,True,1,"Thumbs Down",True,False,False,Content-Based,5,,0.86,,0,"Credit Card",False,,True,2,True,False,False,,Control,v3.3,126.88,1,Medium,0,1.0888331940963518,Premium
89,238,363,82,2,3,24.84,31.05,0.65,2,0,480p,False,Spanish,8,False,False,False,0,True,1,,True,False,False,Hybrid,14,,0.792,,0,"Credit Card",False,,True,0.53,True,False,False,,Variant_A,v3.3,31.136000000000003,0,Low,0,0.7999999999999999,Low
90,104,67,125,2,2,48.68,56.57,0.31,3,3,1080p,True,Hindi,6,False,False,False,0,True,4,"Thumbs Down",True,False,False,"Collaborative Filtering",10,,0.967,,0,"Credit Card",False,,True,1.69,True,False,False,,Variant_B,v3.3,30.371999999999996,0,Medium,0,0.8605267809793177,High
91,210,173,15,4,2,19.37,24.36,0.35,5,0,1080p,False,English,4,False,True,False,0,False,0,"Thumbs Up",True,False,False,"Collaborative Filtering",10,,0.679,Cancellation,7.99,"Apple Pay",False,"Found Alternative",False,2.34,True,False,False,,Variant_B,v3.3,19.048000000000002,0,Low,0,0.7951559934318556,Premium
92,42,23,74,3,2,61.27,79.12,0.71,3,4,720p,False,English,5,True,False,True,3.2,False,0,,True,False,False,Content-Based,18,,0.431,,0,"Debit Card",False,,True,2.11,False,False,False,,Control,v4.0,46.80800000000001,1,High,0,0.7743933265925177,Premium
93,316,88,23,2,3,16.34,17.44,0.83,5,2,1080p,True,English,2,False,False,True,4.4,False,0,,True,True,False,"Collaborative Filtering",20,33.2,0.82,,0,"Apple Pay",False,,False,1.93,False,False,False,,Variant_B,v4.0,31.836,0,Medium,0,0.9369266055045871,Premium
94,468,324,49,4,1,45.39,44.82,0.72,6,3,720p,False,Original,8,False,False,False,0,False,0,,False,False,False,"Collaborative Filtering",9,,0.553,Upgrade,7.99,"Credit Card",False,,True,0.44,False,False,False,,Variant_B,v3.2,41.356,0,Medium,0,1.0127175368139223,Low
95,454,203,141,3,1,260.27,300.25,0.54,8,0,4K,True,German,4,False,False,True,4.7,False,0,"Thumbs Up",True,True,True,Content-Based,4,84.3,0.594,Renewal,19.99,PayPal,False,,False,1.92,False,False,False,,Variant_B,v4.0,121.108,1,Low,1,0.8668442964196502,Premium
96,268,193,127,3,2,9.29,9.78,0.33,2,0,720p,True,English,4,False,False,False,0,False,0,,True,False,False,Content-Based,17,,0.518,Renewal,7.99,"Debit Card",False,,True,1,False,False,False,,Variant_B,v3.3,14.416,0,Low,0,0.9498977505112475,Medium
97,386,266,95,4,1,31.19,40.13,0.93,8,3,720p,True,English,2,False,False,False,0,False,0,,True,False,False,Trending,2,,0.585,Renewal,0,"Debit Card",False,,True,0.35,True,False,False,,Variant_A,v3.3,40.775999999999996,0,Medium,0,0.7772240219287316,Low
