date_key,full_date,day,month,month_name,quarter,year,day_of_week,week_number,weekend_flag,is_holiday
64,2023-03-05,5,3,March,1,2023,Sunday,9,True,False
65,2023-03-06,6,3,March,1,2023,Monday,10,False,False
66,2023-03-07,7,3,March,1,2023,Tuesday,10,False,False
67,2023-03-08,8,3,March,1,2023,Wednesday,10,False,False
68,2023-03-09,9,3,March,1,2023,Thursday,10,False,False
69,2023-03-10,10,3,March,1,2023,Friday,10,False,False
70,2023-03-11,11,3,March,1,2023,Saturday,10,True,False
71,2023-03-12,12,3,March,1,2023,Sunday,10,True,False
72,2023-03-13,13,3,March,1,2023,Monday,11,False,False
73,2023-03-14,14,3,March,1,2023,Tuesday,11,False,False
74,2023-03-15,15,3,March,1,2023,Wednesday,11,False,False
75,2023-03-16,16,3,March,1,2023,Thursday,11,False,False
76,2023-03-17,17,3,March,1,2023,Friday,11,False,False
77,2023-03-18,18,3,March,1,2023,Saturday,11,True,False
78,2023-03-19,19,3,March,1,2023,Sunday,11,True,False
79,2023-03-20,20,3,March,1,2023,Monday,12,False,False
80,2023-03-21,21,3,March,1,2023,Tuesday,12,False,False
81,2023-03-22,22,3,March,1,2023,Wednesday,12,False,False
82,2023-03-23,23,3,March,1,2023,Thursday,12,False,False
83,2023-03-24,24,3,March,1,2023,Friday,12,False,False
84,2023-03-25,25,3,March,1,2023,Saturday,12,True,False
85,2023-03-26,26,3,March,1,2023,Sunday,12,True,False
86,2023-03-27,27,3,March,1,2023,Monday,13,False,False
87,2023-03-28,28,3,March,1,2023,Tuesday,13,False,False
88,2023-03-29,29,3,March,1,2023,Wednesday,13,False,False
89,2023-03-30,30,3,March,1,2023,Thursday,13,False,False
90,2023-03-31,31,3,March,1,2023,Friday,13,False,False
91,2023-04-01,1,4,April,2,2023,Saturday,13,True,False
92,2023-04-02,2,4,April,2,2023,Sunday,13,True,False
93,2023-04-03,3,4,April,2,2023,Monday,14,False,False
94,2023-04-04,4,4,April,2,2023,Tuesday,14,False,False
95,2023-04-05,5,4,April,2,2023,Wednesday,14,False,False
96,2023-04-06,6,4,April,2,2023,Thursday,14,False,False
97,2023-04-07,7,4,April,2,2023,Friday,14,False,False
98,2023-04-08,8,4,April,2,2023,Saturday,14,True,False
99,2023-04-09,9,4,April,2,2023,Sunday,14,True,False
100,2023-04-10,10,4,April,2,2023,Monday,15,False,False
101,2023-04-11,11,4,April,2,2023,Tuesday,15,False,False
102,2023-04-12,12,4,April,2,2023,Wednesday,15,False,False
103,2023-04-13,13,4,April,2,2023,Thursday,15,False,False
104,2023-04-14,14,4,April,2,2023,Friday,15,False,False
105,2023-04-15,15,4,April,2,2023,Saturday,15,True,False
106,2023-04-16,16,4,April,2,2023,Sunday,15,True,False
107,2023-04-17,17,4,April,2,2023,Monday,16,False,False
108,2023-04-18,18,4,April,2,2023,Tuesday,16,False,False
109,2023-04-19,19,4,April,2,2023,Wednesday,16,False,False
110,2023-04-20,20,4,April,2,2023,Thursday,16,False,False
111,2023-04-21,21,4,April,2,2023,Friday,16,False,False
112,2023-04-22,22,4,April,2,2023,Saturday,16,True,False
113,2023-04-23,23,4,April,2,2023,Sunday,16,True,False
114,2023-04-24,24,4,April,2,2023,Monday,17,False,False
115,2023-04-25,25,4,April,2,2023,Tuesday,17,False,False
116,2023-04-26,26,4,April,2,2023,Wednesday,17,False,False
117,2023-04-27,27,4,April,2,2023,Thursday,17,False,False
118,2023-04-28,28,4,April,2,2023,Friday,17,False,False
119,2023-04-29,29,4,April,2,2023,Saturday,17,True,False
120,2023-04-30,30,4,April,2,2023,Sunday,17,True,False
121,2023-05-01,1,5,May,2,2023,Monday,18,False,False
122,2023-05-02,2,5,May,2,2023,Tuesday,18,False,False
123,2023-05-03,3,5,May,2,2023,Wednesday,18,False,False
124,2023-05-04,4,5,May,2,2023,Thursday,18,False,False
125,2023-05-05,5,5,May,2,2023,Friday,18,False,False
126,2023-05-06,6,5,May,2,2023,Saturday,18,True,False
127,2023-05-07,7,5,May,2,2023,Sunday,18,True,False
128,2023-05-08,8,5,May,2,2023,Monday,19,False,False
129,2023-05-09,9,5,May,2,2023,Tuesday,19,False,False
130,2023-05-10,10,5,May,2,2023,Wednesday,19,False,False
131,2023-05-11,11,5,May,2,2023,Thursday,19,False,False
132,2023-05-12,12,5,May,2,2023,Friday,19,False,False
133,2023-05-13,13,5,May,2,2023,Saturday,19,True,False
134,2023-05-14,14,5,May,2,2023,Sunday,19,True,False
135,2023-05-15,15,5,May,2,2023,Monday,20,False,False
136,2023-05-16,16,5,May,2,2023,Tuesday,20,False,False
137,2023-05-17,17,5,May,2,2023,Wednesday,20,False,False
138,2023-05-18,18,5,May,2,2023,Thursday,20,False,False
139,2023-05-19,19,5,May,2,2023,Friday,20,False,False
140,2023-05-20,20,5,May,2,2023,Saturday,20,True,False
141,2023-05-21,21,5,May,2,2023,Sunday,20,True,False
142,2023-05-22,22,5,May,2,2023,Monday,21,False,False
143,2023-05-23,23,5,May,2,2023,Tuesday,21,False,False
144,2023-05-24,24,5,May,2,2023,Wednesday,21,False,False
145,2023-05-25,25,5,May,2,2023,Thursday,21,False,False
146,2023-05-26,26,5,May,2,2023,Friday,21,False,False
147,2023-05-27,27,5,May,2,2023,Saturday,21,True,False
148,2023-05-28,28,5,May,2,2023,Sunday,21,True,False
149,2023-05-29,29,5,May,2,2023,Monday,22,False,False
150,2023-05-30,30,5,May,2,2023,Tuesday,22,False,False
151,2023-05-31,31,5,May,2,2023,Wednesday,22,False,False
152,2023-06-01,1,6,June,2,2023,Thursday,22,False,False
153,2023-06-02,2,6,June,2,2023,Friday,22,False,False
154,2023-06-03,3,6,June,2,2023,Saturday,22,True,False
155,2023-06-04,4,6,June,2,2023,Sunday,22,True,False
156,2023-06-05,5,6,June,2,2023,Monday,23,False,False
157,2023-06-06,6,6,June,2,2023,Tuesday,23,False,False
158,2023-06-07,7,6,June,2,2023,Wednesday,23,False,False
159,2023-06-08,8,6,June,2,2023,Thursday,23,False,False
160,2023-06-09,9,6,June,2,2023,Friday,23,False,False
161,2023-06-10,10,6,June,2,2023,Saturday,23,True,False
162,2023-06-11,11,6,June,2,2023,Sunday,23,True,False
163,2023-06-12,12,6,June,2,2023,Monday,24,False,False
164,2023-06-13,13,6,June,2,2023,Tuesday,24,False,False
165,2023-06-14,14,6,June,2,2023,Wednesday,24,False,False
166,2023-06-15,15,6,June,2,2023,Thursday,24,False,False
167,2023-06-16,16,6,June,2,2023,Friday,24,False,False
168,2023-06-17,17,6,June,2,2023,Saturday,24,True,False
169,2023-06-18,18,6,June,2,2023,Sunday,24,True,False
170,2023-06-19,19,6,June,2,2023,Monday,25,False,False
171,2023-06-20,20,6,June,2,2023,Tuesday,25,False,False
172,2023-06-21,21,6,June,2,2023,Wednesday,25,False,False
173,2023-06-22,22,6,June,2,2023,Thursday,25,False,False
174,2023-06-23,23,6,June,2,2023,Friday,25,False,False
175,2023-06-24,24,6,June,2,2023,Saturday,25,True,False
176,2023-06-25,25,6,June,2,2023,Sunday,25,True,False
177,2023-06-26,26,6,June,2,2023,Monday,26,False,False
178,2023-06-27,27,6,June,2,2023,Tuesday,26,False,False
179,2023-06-28,28,6,June,2,2023,Wednesday,26,False,False
180,2023-06-29,29,6,June,2,2023,Thursday,26,False,False
181,2023-06-30,30,6,June,2,2023,Friday,26,False,False
182,2023-07-01,1,7,July,3,2023,Saturday,26,True,False
183,2023-07-02,2,7,July,3,2023,Sunday,26,True,False
184,2023-07-03,3,7,July,3,2023,Monday,27,False,False
185,2023-07-04,4,7,July,3,2023,Tuesday,27,False,False
186,2023-07-05,5,7,July,3,2023,Wednesday,27,False,False
187,2023-07-06,6,7,July,3,2023,Thursday,27,False,False
188,2023-07-07,7,7,July,3,2023,Friday,27,False,False
189,2023-07-08,8,7,July,3,2023,Saturday,27,True,False
190,2023-07-09,9,7,July,3,2023,Sunday,27,True,False
191,2023-07-10,10,7,July,3,2023,Monday,28,False,False
192,2023-07-11,11,7,July,3,2023,Tuesday,28,False,False
193,2023-07-12,12,7,July,3,2023,Wednesday,28,False,False
194,2023-07-13,13,7,July,3,2023,Thursday,28,False,False
195,2023-07-14,14,7,July,3,2023,Friday,28,False,False
196,2023-07-15,15,7,July,3,2023,Saturday,28,True,False
197,2023-07-16,16,7,July,3,2023,Sunday,28,True,False
198,2023-07-17,17,7,July,3,2023,Monday,29,False,False
199,2023-07-18,18,7,July,3,2023,Tuesday,29,False,False
200,2023-07-19,19,7,July,3,2023,Wednesday,29,False,False
201,2023-07-20,20,7,July,3,2023,Thursday,29,False,False
202,2023-07-21,21,7,July,3,2023,Friday,29,False,False
203,2023-07-22,22,7,July,3,2023,Saturday,29,True,False
204,2023-07-23,23,7,July,3,2023,Sunday,29,True,False
205,2023-07-24,24,7,July,3,2023,Monday,30,False,False
206,2023-07-25,25,7,July,3,2023,Tuesday,30,False,False
207,2023-07-26,26,7,July,3,2023,Wednesday,30,False,False
208,2023-07-27,27,7,July,3,2023,Thursday,30,False,False
209,2023-07-28,28,7,July,3,2023,Friday,30,False,False
210,2023-07-29,29,7,July,3,2023,Saturday,30,True,False
211,2023-07-30,30,7,July,3,2023,Sunday,30,True,False
212,2023-07-31,31,7,July,3,2023,Monday,31,False,False
213,2023-08-01,1,8,August,3,2023,Tuesday,31,False,False
214,2023-08-02,2,8,August,3,2023,Wednesday,31,False,False
215,2023-08-03,3,8,August,3,2023,Thursday,31,False,False
216,2023-08-04,4,8,August,3,2023,Friday,31,False,False
217,2023-08-05,5,8,August,3,2023,Saturday,31,True,False
218,2023-08-06,6,8,August,3,2023,Sunday,31,True,False
219,2023-08-07,7,8,August,3,2023,Monday,32,False,False
220,2023-08-08,8,8,August,3,2023,Tuesday,32,False,False
221,2023-08-09,9,8,August,3,2023,Wednesday,32,False,False
222,2023-08-10,10,8,August,3,2023,Thursday,32,False,False
223,2023-08-11,11,8,August,3,2023,Friday,32,False,False
224,2023-08-12,12,8,August,3,2023,Saturday,32,True,False
225,2023-08-13,13,8,August,3,2023,Sunday,32,True,False
226,2023-08-14,14,8,August,3,2023,Monday,33,False,False
227,2023-08-15,15,8,August,3,2023,Tuesday,33,False,False
228,2023-08-16,16,8,August,3,2023,Wednesday,33,False,False
229,2023-08-17,17,8,August,3,2023,Thursday,33,False,False
230,2023-08-18,18,8,August,3,2023,Friday,33,False,False
231,2023-08-19,19,8,August,3,2023,Saturday,33,True,False
232,2023-08-20,20,8,August,3,2023,Sunday,33,True,False
233,2023-08-21,21,8,August,3,2023,Monday,34,False,False
234,2023-08-22,22,8,August,3,2023,Tuesday,34,False,False
235,2023-08-23,23,8,August,3,2023,Wednesday,34,False,False
236,2023-08-24,24,8,August,3,2023,Thursday,34,False,False
237,2023-08-25,25,8,August,3,2023,Friday,34,False,False
238,2023-08-26,26,8,August,3,2023,Saturday,34,True,False
239,2023-08-27,27,8,August,3,2023,Sunday,34,True,False
240,2023-08-28,28,8,August,3,2023,Monday,35,False,False
241,2023-08-29,29,8,August,3,2023,Tuesday,35,False,False
242,2023-08-30,30,8,August,3,2023,Wednesday,35,False,False
243,2023-08-31,31,8,August,3,2023,Thursday,35,False,False
244,2023-09-01,1,9,September,3,2023,Friday,35,False,False
245,2023-09-02,2,9,September,3,2023,Saturday,35,True,False
246,2023-09-03,3,9,September,3,2023,Sunday,35,True,False
247,2023-09-04,4,9,September,3,2023,Monday,36,False,False
248,2023-09-05,5,9,September,3,2023,Tuesday,36,False,False
249,2023-09-06,6,9,September,3,2023,Wednesday,36,False,False
250,2023-09-07,7,9,September,3,2023,Thursday,36,False,False
251,2023-09-08,8,9,September,3,2023,Friday,36,False,False
252,2023-09-09,9,9,September,3,2023,Saturday,36,True,False
253,2023-09-10,10,9,September,3,2023,Sunday,36,True,False
254,2023-09-11,11,9,September,3,2023,Monday,37,False,False
255,2023-09-12,12,9,September,3,2023,Tuesday,37,False,False
256,2023-09-13,13,9,September,3,2023,Wednesday,37,False,False
257,2023-09-14,14,9,September,3,2023,Thursday,37,False,False
258,2023-09-15,15,9,September,3,2023,Friday,37,False,False
259,2023-09-16,16,9,September,3,2023,Saturday,37,True,False
260,2023-09-17,17,9,September,3,2023,Sunday,37,True,False
261,2023-09-18,18,9,September,3,2023,Monday,38,False,False
262,2023-09-19,19,9,September,3,2023,Tuesday,38,False,False
263,2023-09-20,20,9,September,3,2023,Wednesday,38,False,False
264,2023-09-21,21,9,September,3,2023,Thursday,38,False,False
265,2023-09-22,22,9,September,3,2023,Friday,38,False,False
266,2023-09-23,23,9,September,3,2023,Saturday,38,True,False
267,2023-09-24,24,9,September,3,2023,Sunday,38,True,False
268,2023-09-25,25,9,September,3,2023,Monday,39,False,False
269,2023-09-26,26,9,September,3,2023,Tuesday,39,False,False
270,2023-09-27,27,9,September,3,2023,Wednesday,39,False,False
271,2023-09-28,28,9,September,3,2023,Thursday,39,False,False
272,2023-09-29,29,9,September,3,2023,Friday,39,False,False
273,2023-09-30,30,9,September,3,2023,Saturday,39,True,False
274,2023-10-01,1,10,October,4,2023,Sunday,39,True,False
275,2023-10-02,2,10,October,4,2023,Monday,40,False,False
276,2023-10-03,3,10,October,4,2023,Tuesday,40,False,False
277,2023-10-04,4,10,October,4,2023,Wednesday,40,False,False
278,2023-10-05,5,10,October,4,2023,Thursday,40,False,False
279,2023-10-06,6,10,October,4,2023,Friday,40,False,False
280,2023-10-07,7,10,October,4,2023,Saturday,40,True,False
281,2023-10-08,8,10,October,4,2023,Sunday,40,True,False
282,2023-10-09,9,10,October,4,2023,Monday,41,False,False
283,2023-10-10,10,10,October,4,2023,Tuesday,41,False,False
284,2023-10-11,11,10,October,4,2023,Wednesday,41,False,False
285,2023-10-12,12,10,October,4,2023,Thursday,41,False,False
286,2023-10-13,13,10,October,4,2023,Friday,41,False,False
287,2023-10-14,14,10,October,4,2023,Saturday,41,True,False
288,2023-10-15,15,10,October,4,2023,Sunday,41,True,False
289,2023-10-16,16,10,October,4,2023,Monday,42,False,False
290,2023-10-17,17,10,October,4,2023,Tuesday,42,False,False
291,2023-10-18,18,10,October,4,2023,Wednesday,42,False,False
292,2023-10-19,19,10,October,4,2023,Thursday,42,False,False
293,2023-10-20,20,10,October,4,2023,Friday,42,False,False
294,2023-10-21,21,10,October,4,2023,Saturday,42,True,False
295,2023-10-22,22,10,October,4,2023,Sunday,42,True,False
296,2023-10-23,23,10,October,4,2023,Monday,43,False,False
297,2023-10-24,24,10,October,4,2023,Tuesday,43,False,False
298,2023-10-25,25,10,October,4,2023,Wednesday,43,False,False
299,2023-10-26,26,10,October,4,2023,Thursday,43,False,False
300,2023-10-27,27,10,October,4,2023,Friday,43,False,False
301,2023-10-28,28,10,October,4,2023,Saturday,43,True,False
302,2023-10-29,29,10,October,4,2023,Sunday,43,True,False
303,2023-10-30,30,10,October,4,2023,Monday,44,False,False
304,2023-10-31,31,10,October,4,2023,Tuesday,44,False,False
305,2023-11-01,1,11,November,4,2023,Wednesday,44,False,False
306,2023-11-02,2,11,November,4,2023,Thursday,44,False,False
307,2023-11-03,3,11,November,4,2023,Friday,44,False,False
308,2023-11-04,4,11,November,4,2023,Saturday,44,True,False
309,2023-11-05,5,11,November,4,2023,Sunday,44,True,False
310,2023-11-06,6,11,November,4,2023,Monday,45,False,False
311,2023-11-07,7,11,November,4,2023,Tuesday,45,False,False
312,2023-11-08,8,11,November,4,2023,Wednesday,45,False,False
313,2023-11-09,9,11,November,4,2023,Thursday,45,False,False
314,2023-11-10,10,11,November,4,2023,Friday,45,False,False
315,2023-11-11,11,11,November,4,2023,Saturday,45,True,False
316,2023-11-12,12,11,November,4,2023,Sunday,45,True,False
317,2023-11-13,13,11,November,4,2023,Monday,46,False,False
318,2023-11-14,14,11,November,4,2023,Tuesday,46,False,False
319,2023-11-15,15,11,November,4,2023,Wednesday,46,False,False
320,2023-11-16,16,11,November,4,2023,Thursday,46,False,False
321,2023-11-17,17,11,November,4,2023,Friday,46,False,False
322,2023-11-18,18,11,November,4,2023,Saturday,46,True,False
323,2023-11-19,19,11,November,4,2023,Sunday,46,True,False
324,2023-11-20,20,11,November,4,2023,Monday,47,False,False
325,2023-11-21,21,11,November,4,2023,Tuesday,47,False,False
326,2023-11-22,22,11,November,4,2023,Wednesday,47,False,False
327,2023-11-23,23,11,November,4,2023,Thursday,47,False,False
328,2023-11-24,24,11,November,4,2023,Friday,47,False,False
329,2023-11-25,25,11,November,4,2023,Saturday,47,True,False
330,2023-11-26,26,11,November,4,2023,Sunday,47,True,False
331,2023-11-27,27,11,November,4,2023,Monday,48,False,False
332,2023-11-28,28,11,November,4,2023,Tuesday,48,False,False
333,2023-11-29,29,11,November,4,2023,Wednesday,48,False,False
334,2023-11-30,30,11,November,4,2023,Thursday,48,False,False
335,2023-12-01,1,12,December,4,2023,Friday,48,False,False
336,2023-12-02,2,12,December,4,2023,Saturday,48,True,False
337,2023-12-03,3,12,December,4,2023,Sunday,48,True,False
338,2023-12-04,4,12,December,4,2023,Monday,49,False,False
339,2023-12-05,5,12,December,4,2023,Tuesday,49,False,False
340,2023-12-06,6,12,December,4,2023,Wednesday,49,False,False
341,2023-12-07,7,12,December,4,2023,Thursday,49,False,False
342,2023-12-08,8,12,December,4,2023,Friday,49,False,False
343,2023-12-09,9,12,December,4,2023,Saturday,49,True,False
344,2023-12-10,10,12,December,4,2023,Sunday,49,True,False
345,2023-12-11,11,12,December,4,2023,Monday,50,False,False
346,2023-12-12,12,12,December,4,2023,Tuesday,50,False,False
347,2023-12-13,13,12,December,4,2023,Wednesday,50,False,False
348,2023-12-14,14,12,December,4,2023,Thursday,50,False,False
349,2023-12-15,15,12,December,4,2023,Friday,50,False,False
350,2023-12-16,16,12,December,4,2023,Saturday,50,True,False
351,2023-12-17,17,12,December,4,2023,Sunday,50,True,False
352,2023-12-18,18,12,December,4,2023,Monday,51,False,False
353,2023-12-19,19,12,December,4,2023,Tuesday,51,False,False
354,2023-12-20,20,12,December,4,2023,Wednesday,51,False,False
355,2023-12-21,21,12,December,4,2023,Thursday,51,False,False
356,2023-12-22,22,12,December,4,2023,Friday,51,False,False
357,2023-12-23,23,12,December,4,2023,Saturday,51,True,False
358,2023-12-24,24,12,December,4,2023,Sunday,51,True,False
359,2023-12-25,25,12,December,4,2023,Monday,52,False,False
360,2023-12-26,26,12,December,4,2023,Tuesday,52,False,False
361,2023-12-27,27,12,December,4,2023,Wednesday,52,False,False
362,2023-12-28,28,12,December,4,2023,Thursday,52,False,False
363,2023-12-29,29,12,December,4,2023,Friday,52,False,False
364,2023-12-30,30,12,December,4,2023,Saturday,52,True,False
365,2023-12-31,31,12,December,4,2023,Sunday,52,True,False
